CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
240492,11/9/2014,6,5,4,6,4,M,406050640,-89.94236656,43.02042515
2408,8/15/2002,7,5,4,21,4,F,407052140,-89.9021957,43.06394448
241325,3/27/2013,8,3,4,27,4,M,408032740,-90.1183976,43.13656789
241363,3/28/2013,8,5,4,31,3,F,408053130,-89.95149175,43.12158195
241370,3/2/2013,7,5,4,1,3,M,407050130,-89.85280126,43.10730738
241617,9/28/2014,3,5,4,2,3,M,403050230,-89.87279085,42.75913014
241623,10/14/2014,10,1,4,24,1,F,410012410,-90.31573697,43.33307703
241712,10/4/2014,10,4,4,18,4,F,410041840,-90.05858658,43.34017295
241717,10/4/2014,10,4,4,18,4,F,410041840,-90.05858658,43.34017295
241789,11/18/2012,7,3,4,23,4,M,407032340,-90.09800637,43.06539298
241833,11/17/2012,7,3,4,17,3,M,407031730,-90.16727278,43.08029594
241958,11/27/2009,9,2,2,36,3,F,209023630,-90.56187579,43.20883628
2421,8/13/2002,8,7,4,28,4,F,408072840,-89.66519029,43.13691428
242845,11/21/2010,7,5,4,3,4,M,407050340,-89.88237983,43.10718384
242850,11/21/2010,7,5,4,22,1,M,407052210,-89.88241801,43.07113219
242885,11/18/2012,8,5,4,35,2,M,408053520,-89.87273207,43.12916433
242887,1/5/2013,7,4,4,8,3,M,407040830,-90.04971368,43.09391119
242984,11/20/2010,8,5,4,25,4,M,408052540,-89.84301849,43.1366815
243537,11/28/2010,10,1,4,7,4,F,410010740,-90.415067,43.35445048
244006,11/23/2014,7,5,4,32,4,M,407053240,-89.92231705,43.03509549
244007,11/26/2013,7,4,4,32,3,F,407043230,-90.04981156,43.03609815
244012,11/22/2014,7,5,4,17,3,M,407051730,-89.93161059,43.07823456
244025,11/29/2013,7,5,4,21,2,F,407052120,-89.9119319,43.07114933
244031,12/1/2013,6,2,4,26,1,M,406022610,-90.21648594,42.9708734
244035,12/14/2013,4,5,4,13,2,M,404051320,-89.85289691,42.8246557
244040,11/23/2013,8,5,4,27,4,M,408052740,-89.8827145,43.13631483
244042,11/24/2013,7,4,4,18,1,M,407041810,-90.0595466,43.086783
244050,10/9/2013,7,4,4,23,1,M,407042310,-89.980647,43.07129496
244052,11/27/2013,7,5,4,27,4,M,407052740,-89.88250392,43.04961506
244054,10/5/2013,7,6,4,22,3,M,407062230,-89.77484231,43.06432876
244057,8/11/2013,7,6,4,3,2,M,407060320,-89.77432806,43.11507348
244066,11/23/2013,7,4,4,13,3,M,407041330,-89.97078822,43.07834897
244072,11/23/2013,7,4,4,24,4,M,407042440,-89.96103788,43.06387207
244082,10/19/2014,6,5,4,9,3,F,406050930,-89.91281564,43.00599597
244088,11/2/2014,7,5,4,32,1,M,407053210,-89.92220106,43.04233089
244090,11/23/2012,8,5,4,27,3,M,408052730,-89.89258411,43.13623111
244100,11/20/2012,7,4,4,12,1,M,407041210,-89.96110405,43.09988394
244107,11/17/2012,7,4,4,36,1,M,407043610,-89.96100139,43.04225996
244109,11/18/2012,7,6,4,30,4,M,407063040,-89.82394147,43.04971249
244113,11/9/2012,7,5,4,25,3,F,407052530,-89.85277698,43.04952958
244114,11/10/2012,7,5,4,15,3,M,407051530,-89.89216638,43.07840442
244116,11/24/2011,7,6,4,27,3,M,407062730,-89.77490684,43.0499195
244120,11/23/2011,7,5,4,21,1,M,407052110,-89.90205306,43.07120717
